Nombre,Color_RGB,Color_Hex,Archivo_Origen,Ruta_Foto
PN114,"(97, 64, 58)",#61403A,PN114.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN114.jpg
PN128,"(249, 168, 191)",#F9A8BF,PN128.jpg,https://piccolo.com.co/wp-content/uploads/2026/02/PN128.jpg
PN129,"(240, 200, 202)",#F0C8CA,PN129.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN129.jpg
PN101,"(249, 248, 249)",#F9F8F9,PN101.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN101.jpg
PN117,"(244, 142, 28)",#F48E1C,PN117.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN117.jpg
PN116,"(215, 132, 31)",#D7841F,PN116.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN116.jpg
PN102,"(240, 223, 197)",#F0DFC5,PN102.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN102.jpg
PN112,"(130, 80, 77)",#82504D,PN112.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN112.jpg
PN110,"(167, 102, 86)",#A76656,PN110.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN110.jpg
PN177,"(122, 111, 97)",#7A6F61,PN177.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN177.jpg
PN163,"(75, 48, 86)",#4B3056,PN163.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN163.jpg
PN188,"(124, 144, 158)",#7C909E,PN188.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn188.jpg
PN201,"(139, 146, 181)",#8B92B5,PN201.jpg,https://piccolo.com.co/wp-content/uploads/2026/02/PN201.jpg
PN200,"(231, 59, 121)",#E73B79,PN200.jpg,https://piccolo.com.co/wp-content/uploads/2024/03/PN200.jpg
PN189,"(149, 145, 195)",#9591C3,PN189.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn189.jpg
PN162,"(111, 88, 146)",#6F5892,PN162.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN162.jpg
PN176,"(64, 65, 67)",#404143,PN176.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN176.jpg
PN160,"(64, 68, 36)",#404424,PN160.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN160.jpg
PN174,"(111, 172, 79)",#6FAC4F,PN174.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN174.jpg
PN148,"(245, 202, 168)",#F5CAA8,PN148.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN148.jpg
PN149,"(205, 189, 178)",#CDBDB2,PN149.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN149.jpg
PN175,"(119, 120, 123)",#77787B,PN175.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN175.jpg
PN161,"(235, 89, 150)",#EB5996,PN161.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN161.jpg
PN159,"(188, 232, 82)",#BCE852,PN159.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN159.jpg
PN165,"(173, 152, 143)",#AD988F,PN165.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN165.jpg
PN171,"(189, 129, 113)",#BD8171,PN171.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN171.jpg
PN170,"(241, 198, 138)",#F1C68A,PN170.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN170.jpg
PN164,"(135, 175, 222)",#87AFDE,PN164.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN164.jpg
PN158,"(159, 142, 187)",#9F8EBB,PN158.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN158.jpg
PN172,"(224, 133, 158)",#E0859E,PN172.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN172.jpg
PN199,"(152, 190, 71)",#98BE47,PN199.jpg,https://piccolo.com.co/wp-content/uploads/2024/03/PN199.jpg
PN198,"(194, 215, 170)",#C2D7AA,PN198.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN198.jpg
PN167,"(248, 128, 59)",#F8803B,PN167.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN167.jpg
PN173,"(116, 112, 113)",#747071,PN173.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN173.jpg
PN156,"(66, 56, 76)",#42384C,PN156.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN156.jpg
PN142,"(37, 138, 94)",#258A5E,PN142.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN142.jpg
PN195,"(212, 216, 204)",#D4D8CC,PN195.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN195.jpg
PN181,"(189, 91, 89)",#BD5B59,PN181.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN181.jpg
PN180,"(156, 176, 115)",#9CB073,PN180.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN180.jpg
PN194,"(229, 187, 201)",#E5BBC9,PN194.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn194.jpg
PN143,"(60, 140, 62)",#3C8C3E,PN143.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN143.jpg
PN157,"(50, 37, 49)",#322531,PN157.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN157.jpg
PN155,"(95, 95, 144)",#5F5F90,PN155.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN155.jpg
PN182,"(222, 156, 138)",#DE9C8A,PN182.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN182.jpg
PN196,"(219, 219, 152)",#DBDB98,PN196.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN196.jpg
PN197,"(145, 129, 59)",#91813B,PN197.jpg,https://piccolo.com.co/wp-content/uploads/2024/03/PN197.jpg
